#{"t_start": 1768402238.2651212, "env_id": "LunarLander-v3"}
r,l,t
-177.763869,114,15.157762
-134.063932,70,15.20476
-427.183432,99,15.265761
-10.698095,61,15.304761
-87.295635,54,15.337783
-221.125057,98,15.39776
-321.955919,79,15.444782
-238.555388,92,15.503777
-121.343095,91,15.560762
-86.448293,73,15.619763
-95.830963,69,15.668759
-101.757111,69,15.719336
-125.529007,98,15.794001
-285.432133,110,15.870028
-436.358894,116,15.950028
44.803001,75,16.001002
-392.392682,96,16.064023
-146.266529,97,16.155022
-336.274049,102,16.222029
-83.482315,69,16.266022
-263.775332,96,16.327022
-73.515235,64,16.366015
-145.880791,82,16.418002
-195.943299,128,18.784516
-407.008587,121,18.883515
-183.111973,73,18.928534
-211.164774,113,18.998533
-223.330855,115,19.070514
-126.581844,97,19.129514
-85.474307,72,19.173514
-119.481935,84,19.225535
-101.05405,81,19.275514
-101.440312,80,19.324535
-111.012193,69,19.366514
-142.168021,99,19.427535
-126.428492,82,19.477514
-269.092182,101,19.542514
-92.168208,93,19.600535
-236.76367,108,19.668515
-317.675001,94,19.726158
-98.498255,91,19.782178
-104.548687,99,19.84316
-154.912988,82,19.900178
-72.733468,86,19.978161
-83.34945,68,20.044173
-100.894358,118,22.408909
-239.507966,112,22.511929
-128.894999,102,22.585911
-393.612299,83,22.644914
-132.442419,82,22.69793
-357.805515,89,22.758132
-296.674406,80,22.811139
-372.851482,99,22.88014
-71.013096,72,22.929162
-300.254779,113,23.006139
-227.205365,116,23.084159
-165.548969,102,23.15114
-196.406056,107,23.218166
-120.056716,123,23.29714
-135.514066,99,23.35914
-141.185732,74,23.40416
-323.61861,124,23.486161
-76.487748,138,23.57116
-74.07524,68,23.612139
-169.905992,86,23.66614
-119.583338,107,23.73671
-139.915572,134,26.148816
-171.576167,67,26.198831
-219.650107,87,26.259818
-405.026219,85,26.318824
-201.215551,95,26.388818
-264.237603,125,26.489795
-140.68512,92,26.554796
-128.366878,73,26.606824
-336.455899,98,26.672816
-149.089171,93,26.733376
-246.818569,68,26.777357
-124.412922,108,26.846376
-330.614042,99,26.911356
-517.270023,133,26.995356
-109.786126,97,27.055357
-65.957549,64,27.096377
-74.969178,59,27.133357
-285.440011,89,27.190355
-409.473601,102,27.253357
-108.046069,61,27.289356
-23.87184,90,27.346357
-268.952363,82,27.399356
-337.94524,112,29.735237
-331.063275,98,29.834836
-251.423052,91,29.895836
8.401318,121,29.973816
-123.227876,79,30.022815
-111.929512,109,30.096816
-165.205425,70,30.144836
-276.556931,103,30.213842
-89.454535,64,30.256816
-106.83153,88,30.316837
-457.974613,131,30.407838
-254.614373,97,30.474843
-350.905159,134,30.566843
-502.03263,126,30.652833
-112.93638,135,30.744828
-95.583249,76,30.795489
-62.157427,68,30.841488
-138.618109,81,30.898489
-16.615437,117,30.979509
-111.945275,87,31.037491
-100.578867,67,31.081509
-104.446578,87,33.427836
-236.82234,127,33.566837
-72.963023,85,33.658858
-167.267535,124,33.794085
-364.494879,121,33.924087
-109.849544,111,34.043107
-111.669651,136,34.191085
-298.940427,116,34.316084
-76.063617,91,34.412084
-365.382245,86,34.505086
-247.023283,134,34.652091
-185.381515,79,34.735697
-90.212347,76,34.815302
-85.014045,77,34.898322
-70.503698,82,34.986306
-90.28499,86,35.078324
-86.869124,77,35.159303
-103.265842,95,35.260342
-68.559175,76,35.341303
-368.691743,116,35.469303
-424.294768,109,35.586312
-216.333795,155,37.923291
-79.756774,139,38.073274
-46.219654,124,38.207293
-217.491974,86,38.298272
-66.39037,129,38.437301
-156.379189,77,38.517295
-138.234704,104,38.625293
-237.098956,143,38.779549
-145.650392,103,38.888549
-225.129379,93,38.988578
-98.731156,80,39.073548
-59.556566,79,39.156569
-97.346306,111,39.275548
-314.011675,145,39.432569
-162.024065,132,39.576568
-139.686888,110,39.694547
-36.418931,94,39.796674
-78.364255,68,39.869702
-155.197733,136,42.0582
-149.298369,117,42.185197
-315.735854,134,42.3322
-134.964396,104,42.442197
-54.345074,93,42.542221
-94.973813,82,42.629198
-143.787133,140,42.781481
-72.026071,153,42.947481
-78.882167,110,43.066481
-214.24988,103,43.178482
-70.640952,124,43.313502
-120.236465,86,43.403501
-185.551242,93,43.503481
-162.698538,115,43.626502
-101.619009,125,43.759901
-215.276855,112,43.880881
-32.975482,126,44.016881
-194.933918,137,44.16588
-138.778909,108,46.402602
-59.567786,107,46.517601
-218.536405,139,46.66662
-200.94849,116,46.791794
-81.80345,108,46.904819
-0.323438,90,46.999815
-58.795091,104,47.111795
-149.496931,107,47.225794
-85.781369,113,47.351814
-124.093101,169,47.537793
-71.256049,87,47.635834
-83.560731,76,47.720431
-104.419525,112,47.843028
-113.230122,98,47.948056
-155.473303,90,48.043028
-197.840984,118,48.169029
-129.59068,94,48.269053
-127.354992,107,48.383052
-56.601737,97,48.485048
-85.341575,186,50.739323
-68.48636,105,50.853012
-69.01688,155,51.025038
-230.922154,115,51.149006
-178.575634,101,51.257008
-119.098114,135,51.402007
-72.579401,118,51.531008
-187.666373,167,51.714597
-49.508676,117,51.841199
-35.525009,177,52.035198
-82.047924,98,52.138178
-224.427451,133,52.283201
-145.387257,142,52.435199
-54.78477,109,52.5542
-82.684384,112,52.673178
-60.60675,113,52.797877
-113.251361,148,55.086285
-19.918222,91,55.185304
-95.587142,122,55.316286
-149.238951,137,55.462282
-44.009874,94,55.561306
-147.88393,154,55.729897
-108.668603,136,55.876507
-59.803787,150,56.044485
-10.785851,104,56.16352
-17.793912,120,56.300506
-127.299093,156,56.473486
-54.454522,116,56.599487
-123.949453,202,56.83269
-70.34046,97,56.93872
-54.740046,150,57.119691
-124.240153,136,59.434483
-256.774775,194,59.655511
-52.124124,161,59.832751
-67.902986,199,60.055738
-7.753626,153,60.221738
-37.445561,149,60.383739
-40.561507,266,60.689739
-56.400883,138,60.839981
-38.963606,126,60.975955
-33.31096,86,61.068957
-128.149101,182,61.272975
-110.2321,127,61.407958
-83.229106,115,61.529955
-205.9573,174,63.935175
-40.161761,117,64.039173
-43.953974,119,64.116242
-168.74756,136,64.203241
-259.484322,164,64.311242
-50.697488,88,64.369319
-101.440873,174,64.486241
17.911279,209,64.634241
-127.523688,118,64.721794
-56.591577,130,64.822352
-184.884958,189,64.968352
-219.012024,173,65.101351
-27.516622,93,65.164351
-149.832356,174,65.278352
-66.046895,106,65.349351
-109.552388,173,67.781846
-133.435567,246,67.953828
19.351607,134,68.044827
-260.192952,171,68.157827
-40.637778,184,68.280828
39.694002,1000,69.473443
-203.858059,201,71.947826
-62.678206,147,72.071827
-35.581224,147,72.176828
-57.692981,127,72.265828
-106.195612,191,72.397828
-134.157487,198,72.537826
-125.073426,192,72.677826
16.943159,144,72.780101
-184.101577,170,72.9081
-117.012904,197,73.0561
-12.176078,187,73.212099
-84.971808,127,73.3001
-11.269477,124,73.3871
-49.546768,96,75.801472
-2.218101,142,75.924472
-22.366823,142,76.016471
-50.705984,122,76.095472
-189.152102,196,76.230473
63.125587,1000,77.136585
-26.274813,121,77.216586
-105.395447,200,77.353585
-63.772322,204,79.736393
-17.993687,111,79.812916
10.108394,162,79.921914
-52.215684,192,80.050914
-20.0548,120,80.128916
-197.810253,190,80.255939
-141.417629,211,80.403916
-144.087687,127,80.485937
-38.726075,184,80.612915
-102.64193,164,80.722481
-15.493251,193,80.854031
-127.718649,240,81.023045
-74.558411,166,83.340279
17.02435,180,83.465265
-199.1761,218,83.617264
-68.063052,196,83.749445
-42.208424,180,83.869431
36.69916,219,84.019455
-67.896197,238,84.18143
-7.130495,198,84.318433
-68.905872,181,84.440432
-92.645858,220,84.590456
-111.421809,245,87.11279
1.333235,210,87.255788
-6.775746,182,87.379015
-57.172768,207,87.519167
-43.666769,209,87.688384
17.753762,135,87.784585
12.261813,138,87.877181
-75.021031,188,88.004205
-67.101136,164,88.111442
-11.841491,145,88.206441
-115.849054,202,88.345442
34.794516,1000,92.005595
-21.312052,192,92.147593
-146.413631,727,92.932002
83.076763,1000,96.40313
67.312122,1000,97.592262
-104.104461,230,97.792372
-51.439785,230,100.269626
29.551919,311,100.529626
-89.762647,200,100.67565
55.801723,1000,101.833725
-3.917242,130,101.937726
-36.902374,309,104.659983
-21.375194,306,104.900235
-40.109264,305,105.141237
-132.687188,260,105.334238
-121.973821,254,105.523237
15.561785,308,105.747884
-32.717819,192,105.883429
-4.358693,288,106.097492
-33.879842,315,108.910972
-10.202311,455,109.288972
38.984973,1000,110.434202
-98.018554,350,113.083206
107.773556,1000,114.165572
-28.653533,312,114.402571
39.481617,1000,117.822228
-84.343905,343,118.103237
-26.247194,314,118.334234
-38.501143,325,118.600208
89.715231,1000,122.087881
125.970958,1000,123.453186
38.045299,1000,127.024822
-11.661724,334,127.301825
-82.063931,424,127.63781
139.169184,1000,128.685172
242.236514,968,131.944824
218.059351,972,132.974985
1.255445,318,135.678311
190.043261,515,136.196645
-38.718265,360,136.504645
-46.71774,365,136.771986
-28.936651,288,136.983965
168.494595,961,140.279353
248.846533,509,140.741041
-61.221847,331,141.034612
240.178182,472,141.458612
164.843686,433,144.243185
-38.620671,352,144.534184
-56.279438,363,144.871535
261.545791,460,145.309534
194.900186,382,145.658553
-79.58575,347,148.239095
238.931668,441,148.666101
-78.124563,325,148.916366
156.339047,649,149.457364
-51.986834,307,149.690356
235.199045,525,152.5138
148.777617,643,153.271979
-34.505242,556,153.847373
168.112035,640,156.711246
164.565858,597,157.237423
163.012788,455,157.603421
-104.537415,360,157.878783
250.207646,551,158.339782
-108.957706,552,161.144802
214.962282,469,161.575783
145.642336,465,161.999807
-84.519908,327,162.236782
135.449155,688,165.284803
228.991953,459,165.658782
194.294845,422,165.991992
228.892195,428,166.342991
178.397934,419,168.963403
206.63545,463,169.430464
212.446031,467,169.918681
129.5974,638,170.514655
-89.994125,426,173.131118
258.388256,427,173.488144
185.002993,390,173.789299
241.961718,448,174.112324
-70.465107,358,174.37833
206.29347,422,176.997829
238.6512,411,177.339867
232.843118,414,177.692851
233.176122,392,177.991953
252.258978,355,178.281954
237.869448,374,178.597953
245.877851,350,181.175289
150.862023,393,181.485289
214.263018,364,181.74087
-8.407307,309,181.961435
242.065318,412,182.352435
10.386724,198,182.489435
-31.767653,298,185.009422
-16.787185,335,185.291423
-14.708434,285,185.533346
-50.486786,320,185.751934
208.791759,517,186.17452
-151.014218,434,188.752976
2.747961,286,188.966985
239.731497,473,189.392011
189.792682,607,189.945199
-188.947356,511,190.406097
214.403259,370,192.940383
210.911884,371,193.277385
227.298217,393,193.607405
176.929394,430,193.993991
205.98636,532,194.487993
205.929338,288,196.979398
-15.290467,284,197.218402
-75.634965,322,197.459293
7.351874,267,197.649292
-36.733545,301,197.883469
-55.154973,301,198.118469
206.670186,439,200.802961
264.123244,476,201.183963
-28.847814,306,201.447963
233.79536,427,201.949114
184.264817,399,202.331117
-8.949614,296,202.579093
-16.143526,253,205.123461
227.187566,393,205.465442
242.266161,456,205.893087
-60.689877,231,206.061088
229.413981,309,206.312088
-76.74453,215,206.467088
222.371571,342,209.078426
231.177075,378,209.401425
213.166276,375,209.719063
205.787191,384,210.057631
-66.900162,245,210.227632
239.938146,398,210.557631
-104.14626,428,213.187089
208.464098,491,213.67409
-159.378782,759,214.329224
-119.124369,212,214.478225
195.453502,380,217.082671
185.86811,400,217.42867
172.486007,372,217.700246
-58.821893,315,217.935827
-254.00279,411,218.272841
-115.877311,422,218.591846
-49.459116,334,221.118207
169.278611,382,221.432206
-67.978285,166,221.540205
-70.402701,314,221.770448
246.302889,487,222.206449
148.729836,462,224.844833
175.776922,518,225.333955
-79.736271,198,225.489834
-95.797226,157,225.595833
-80.597789,215,225.737376
219.973598,362,226.052927
-98.819564,307,226.300927
-145.378763,253,228.953478
174.764737,424,229.409476
228.274293,376,229.802751
-76.217059,233,230.009728
-40.941599,304,230.297729
-92.665598,388,230.674727
-74.487516,364,233.267074
244.339003,320,233.551075
210.73283,450,233.940313
-75.005193,333,234.212313
145.624205,461,234.610313
262.324667,530,237.345767
207.673063,408,237.71831
212.491055,617,238.345876
-98.020017,275,238.541873
-105.355621,365,238.847026
203.959111,457,241.827485
-108.995733,509,242.276484
192.543739,499,242.805485
221.13971,470,243.185483
190.290294,474,246.031498
213.103535,562,246.560484
202.225715,731,247.439484
251.723469,383,247.755485
228.62853,445,250.389484
-37.151626,345,250.690504
116.459548,547,251.137485
-74.446276,411,251.486485
-56.952539,335,251.782485
-58.247346,169,251.916484
207.457612,416,254.741499
191.624117,421,255.116485
-72.293659,311,255.373485
237.259859,470,255.763484
187.667998,414,256.149483
183.811423,460,258.924503
258.909392,415,259.328507
198.759126,515,259.825484
181.372939,763,260.712484
211.846103,468,263.438484
-39.433282,237,263.601483
229.2946,575,264.14475
205.770323,477,264.618752
237.587459,400,267.332261
233.900285,426,267.74774
236.684268,349,268.097287
266.235917,468,268.496288
215.795356,385,268.854394
157.792578,614,271.860898
243.845668,344,272.156897
171.073817,909,272.990095
205.262157,529,275.675306
-77.070824,418,276.101478
208.143725,446,276.478462
150.693975,447,276.895586
210.062424,376,277.208587
220.446066,424,279.812934
208.929194,404,280.154913
216.05539,443,280.554912
150.223488,533,281.046029
199.86002,510,281.544029
252.021322,387,284.196911
24.170139,282,284.412928
239.474407,441,284.755157
-22.784407,378,285.047159
178.136643,432,285.430159
234.48089,420,288.283572
237.587294,373,288.625573
184.490209,392,288.951758
-18.243014,339,289.232782
216.348048,415,289.600758
-166.108516,516,292.400304
223.73458,352,292.686321
260.986611,382,292.967497
-17.264194,260,293.164499
221.123096,382,293.505499
-46.126731,217,293.690522
229.583329,442,296.597842
184.749002,412,296.980104
209.842522,319,297.323083
249.539537,359,297.648104
193.794374,540,298.194268
2.584761,294,300.660852
231.53229,409,300.994392
211.941323,425,301.58891
213.536784,397,302.176131
206.207675,461,302.830214
218.238907,438,305.826727
196.113113,391,306.222748
-67.362712,270,306.449727
188.211017,373,306.775928
-41.76822,292,306.982948
154.662932,432,307.36795
164.593346,499,310.082605
209.907456,362,310.397628
148.014472,544,310.888878
-35.743311,349,311.243876
213.651385,524,314.179309
187.21374,616,314.921858
-57.27935,404,315.295837
209.393579,663,315.866093
205.909214,448,318.583388
204.578552,446,319.016607
204.947244,404,319.408609
238.88376,435,319.789964
226.002461,277,319.996956
-60.015694,352,322.711831
-52.877505,333,323.186475
156.903244,583,324.006822
-12.35142,246,324.301793
-41.662712,235,324.597794
-18.294997,317,324.991947
-28.172379,371,327.646102
-143.655907,275,327.991215
-64.316587,288,328.372215
220.913021,606,329.399436
242.014834,474,330.02469
-40.862115,345,332.691971
-54.211185,359,333.216267
220.860495,472,333.931994
198.678844,386,334.521996
7.970227,353,335.026428
236.867284,382,335.440432
-20.121471,277,338.084907
190.065767,572,338.72856
238.157978,565,339.276148
204.802166,473,339.720742
155.494955,383,342.425597
-21.354408,327,342.681604
-36.279333,386,342.976692
179.286487,541,343.437691
207.709643,454,343.833996
-56.462833,270,346.308253
209.195293,400,346.657287
227.77556,432,347.049472
201.255606,399,347.382472
-61.255289,302,347.627476
227.840481,404,348.018619
253.33911,419,350.754154
234.286896,381,351.178154
207.945371,386,351.509174
164.72698,664,352.189505
225.34312,370,354.853128
233.920952,416,355.435627
-5.764925,253,355.619629
-18.048833,299,355.866872
211.939055,388,356.269854
228.659456,362,356.620855
-7.824809,304,359.297325
222.681838,436,359.657328
-2.461015,268,359.878603
215.663233,383,360.24158
-53.340498,323,360.552581
136.010425,626,363.600216
202.59394,383,363.972837
226.467908,542,364.537837
198.032896,722,365.442093
209.920324,377,368.319527
-71.414077,323,368.607534
208.724806,429,369.011214
222.463455,492,369.560214
186.037132,453,370.013487
-26.945513,247,370.226486
-31.108364,485,373.134274
205.613707,393,373.552272
180.231057,399,373.937464
-39.477082,303,374.192448
-40.386016,276,374.39045
181.276642,772,377.472832
215.508784,440,377.91308
5.767876,365,378.18908
-25.623085,535,378.814901
202.629738,423,381.502835
211.198761,577,382.132021
152.064009,694,382.908298
191.037418,477,383.373281
170.565015,361,386.030492
238.271349,392,386.409492
229.7249,372,386.792703
-65.85385,385,387.158703
136.925549,468,387.603702
196.155721,475,390.637111
211.340338,505,391.428222
123.003796,922,392.968035
231.805303,447,395.981706
116.693737,601,396.631689
173.130761,598,397.190876
177.031816,401,397.499861
202.353569,532,400.295401
191.181575,758,401.189607
205.01229,647,401.861763
132.532399,584,404.678119
-198.768885,488,405.128645
228.376948,568,405.643645
193.732769,433,406.033804
172.77706,391,408.647115
231.054842,389,408.963227
203.728423,409,409.342227
-50.54029,316,409.584227
232.432311,380,409.901477
213.018774,536,412.634398
185.241212,499,413.135505
206.721415,451,413.560399
27.358273,345,413.8064
194.188122,440,414.16343
219.138063,455,416.830415
191.171429,497,417.313413
67.276569,1000,418.244398
-47.621053,325,418.481401
203.910233,496,421.1564
-62.439776,188,421.283422
218.161909,416,421.631399
-79.670865,264,421.825399
167.774922,320,422.0654
-87.69683,244,422.2424
-55.063855,274,424.7664
114.267064,623,425.3354
224.369561,342,425.596399
182.882128,417,425.944399
-107.101069,239,426.1174
-88.863344,256,426.30442
159.251934,555,429.093416
-177.655226,339,429.360399
-60.59804,168,429.477399
158.314708,662,430.1644
165.838582,771,433.273784
-30.914636,389,433.610804
-131.131969,337,433.860802
197.124669,437,434.229785
209.220158,421,434.599785
227.548187,390,437.263804
157.543729,519,437.790989
178.469373,416,438.151989
120.967236,507,438.687018
205.10014,948,442.114778
173.506345,352,442.430778
-171.707681,419,442.766572
141.612028,606,443.300591
207.982479,372,446.075438
230.364736,396,446.475437
163.403418,493,446.907654
196.532149,321,447.128654
131.862493,384,447.424674
149.934054,398,450.076185
-43.418102,357,450.359184
223.157627,470,450.793359
173.904501,507,451.217383
219.001982,412,451.573357
179.931283,504,454.315402
